step,wall,approx_kl,clip_frac,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,mean_reward,min_JT,pg_loss,v_loss
8192,3.663826831994811,0.009899270426693025,0.13887940347194672,,,,,,,,0.0,-0.5784890651702881,0.10792525947637456,-0.021321292640562876,66.64830780029297
16384,5.41133457198157,0.009830574798383016,0.13551025092601776,,,,,,,,0.0,-0.5170131325721741,0.1431049393840364,-0.019888251725641227,26.73518180847168
24576,6.382514973985963,0.010146063563584919,0.12895508110523224,,,,,,,,0.0078125,-0.3129887580871582,0.1817215627187252,-0.018213358217720542,14.9121675491333
32768,7.341265794006176,0.011629967505971728,0.14713135361671448,,,,,,,,0.0,-0.2291448414325714,0.13977040805401136,-0.021330172715606298,9.91467571258545
40960,8.290818968001986,0.010626576746275932,0.12449951469898224,,,,,,,,0.0,-0.17093171179294586,0.14960500281204747,-0.017071859553836718,8.11992073059082
49152,9.25831992799067,0.007793915175623448,0.08510742336511612,,,,,,,,0.0078125,0.011188996955752373,0.15863023399294368,-0.013859872663696433,7.99310302734375
57344,10.210035731986864,0.007848871708173642,0.08820801228284836,,,,,,,,0.0,-0.027195125818252563,0.1297417214678251,-0.01217303100535016,5.705719947814941
65536,11.219416176987579,0.005124109334219071,0.04946289211511612,0.0019551086037878918,0.2201897954128531,0.21478945275811676,333,218.98142022841506,31.05,nan,0.0078125,0.03020080365240574,0.19449265649241557,-0.008720544457594017,4.442260265350342
73728,13.51801135999267,0.005861315395269397,0.05820312723517418,,,,,,,,0.0,0.15264269709587097,0.17272014146044615,-0.007532322727486174,5.009214878082275
81920,14.469390166981611,0.004550439038850706,0.04191894456744194,,,,,,,,0.0,0.08752842992544174,0.14391971872444845,-0.006001783247569258,5.087146282196045
90112,15.509379516995978,0.004528744582410317,0.04373779520392418,,,,,,,,0.0078125,0.2171989530324936,0.14359162266576989,-0.0066804431102516,5.501561641693115
98304,16.712359049997758,0.004250699250568398,0.04135742411017418,,,,,,,,0.0,0.17587828636169434,0.1373352620929237,-0.0053346010908456865,4.923863410949707
106496,17.66328141000122,0.00495610582090813,0.0458984375,,,,,,,,0.0,0.12156004458665848,0.17503530932402903,-0.006862346191492209,4.320754051208496
114688,18.669494081987068,0.004500301409084459,0.04458007961511612,,,,,,,,0.0078125,0.333143025636673,0.15897005706852485,-0.004468483499853771,3.6865146160125732
122880,19.605724029999692,0.003852988953548136,0.03338623046875,,,,,,,,0.0,0.20821751654148102,0.13345071700269098,-0.005222551888907094,5.314051628112793
