step,wall,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,kl,line_search_success,mean_reward,min_JT,policy_objective,std,value_loss
8192,4.1059003239997764,,,,,,,,0.58935546875,0.007872466399231389,1.0,-11.710275650024414,0.24645627165487372,0.029903493088854562,0.9567300948213472,34.3393440246582
16384,11.0416580659994,,,,,,,,0.5712890625,0.008772134456310626,1.0,-22.080604553222656,0.2467867043115205,0.0320162720438777,0.9191438065720319,9.265359878540039
24576,13.785420940999757,,,,,,,,0.56787109375,0.00932344696426507,1.0,-32.09436798095703,0.24616480932138562,0.03776182591815458,0.8832860077527267,9.81199836730957
32768,16.516107236999233,,,,,,,,0.5609130859375,0.009404932638499987,1.0,-41.210567474365234,0.24663512546445543,0.041280880623758974,0.8473373964251294,12.34558391571045
40960,19.252605200999824,,,,,,,,0.5499267578125,0.009402479579778276,1.0,-49.24909210205078,0.24567641444065214,0.04144076665882663,0.811542927422215,14.61438274383545
49152,21.92053178599963,,,,,,,,0.550537109375,0.0091154239710099,1.0,-57.785308837890625,0.24644895648465015,0.039899090074015806,0.7748597220699975,18.217456817626953
57344,24.595805435999864,,,,,,,,0.5391845703125,0.008900811857498763,1.0,-64.04037475585938,0.2463781809885296,0.036074392299529745,0.7372628545464286,21.601789474487305
65536,27.297713670999656,0.006293771724234287,0.2816874890649218,0.2544176207070066,3,-18.73516166463976,0.15000000000000002,nan,0.5404052734375,0.008979442649964774,1.0,-71.53753662109375,0.24665106786429192,0.04000316681747129,0.7004014579076385,24.1116943359375
73728,30.927433318999647,,,,,,,,0.5262451171875,0.00888467500945385,1.0,-76.1192855834961,0.24680975470539623,0.03955466478131478,0.664963328116364,27.63490867614746
81920,33.40910681199966,,,,,,,,0.5089111328125,0.008900572849578053,1.0,-79.51284790039062,0.24658401559157095,0.041664223683191205,0.6312106844490994,34.23732376098633
90112,36.21088901499934,,,,,,,,0.50244140625,0.008966558035683707,1.0,-83.32918548583984,0.23928222662668497,0.04387817134759631,0.5994625135645959,33.11520004272461
98304,38.99465380499987,,,,,,,,0.48486328125,0.008766919372706353,1.0,-85.55899047851562,0.24563892242984076,0.04448948079381655,0.5695047675638709,37.12971878051758
106496,41.686418102999596,,,,,,,,0.470458984375,0.009012029451195752,1.0,-88.10289764404297,0.24628059822695925,0.044929149963158194,0.5418108942476995,42.09571075439453
114688,44.42869431099916,,,,,,,,0.4417724609375,0.009119429344355836,1.0,-87.2060317993164,0.24034715170175114,0.04673696177141798,0.5166136515115773,48.02497863769531
122880,47.10854503799965,,,,,,,,0.4288330078125,0.008766667988349661,1.0,-88.71526336669922,0.24426329531653745,0.0446426834786957,0.49082932338170115,51.590003967285156
131072,49.76596546999917,0.005999186757977393,0.43617379163105896,0.2540315600715183,11,-14.481302638526309,0.15000000000000002,nan,0.3905029296875,0.008899461488439477,1.0,-83.98329162597656,0.24630264235142774,0.04711980126888647,0.4671190784540725,56.42373275756836
139264,52.53392760399947,,,,,,,,0.3653564453125,0.008931322248031205,1.0,-81.21760559082031,0.23982292841783914,0.046929782156834764,0.44553264730376363,54.99531173706055
