,tlist,amplist
0,0.0,-0.5078068054312479
1,1.0050251256281406,-0.5078068054312479
2,2.0100502512562812,-0.5078068054312479
3,3.015075376884422,-0.5078068054312479
4,4.0201005025125625,0.64482941514076
5,5.025125628140703,0.64482941514076
6,6.030150753768844,0.64482941514076
7,7.035175879396984,0.64482941514076
8,8.040201005025125,0.9840078955861731
9,9.045226130653266,0.9840078955861731
10,10.050251256281406,0.9840078955861731
11,11.055276381909547,0.9840078955861731
12,12.060301507537687,0.37318055146565676
13,13.065326633165828,0.37318055146565676
14,14.070351758793969,0.37318055146565676
15,15.07537688442211,0.37318055146565676
16,16.08040201005025,0.9989391603638351
17,17.08542713567839,0.9989391603638351
18,18.09045226130653,0.9989391603638351
19,19.09547738693467,0.9989391603638351
20,20.100502512562812,0.9961339368619389
21,21.105527638190953,0.9961339368619389
22,22.110552763819094,0.9961339368619389
23,23.115577889447234,0.9961339368619389
24,24.120603015075375,0.9952879638731156
25,25.125628140703515,0.9952879638731156
26,26.130653266331656,0.9952879638731156
27,27.135678391959797,0.9952879638731156
28,28.140703517587937,0.8597975398337413
29,29.145728643216078,0.8597975398337413
30,30.15075376884422,0.8597975398337413
31,31.15577889447236,0.8597975398337413
32,32.1608040201005,0.8580112201678206
33,33.16582914572864,0.8580112201678206
34,34.17085427135678,0.8580112201678206
35,35.175879396984925,0.8580112201678206
36,36.18090452261306,0.5519399518740242
37,37.1859296482412,0.5519399518740242
38,38.19095477386934,0.5519399518740242
39,39.19597989949749,0.5519399518740242
40,40.201005025125625,0.9974700767491714
41,41.20603015075376,0.9974700767491714
42,42.211055276381906,0.9974700767491714
43,43.21608040201005,0.9974700767491714
44,44.22110552763819,0.8722738519320432
45,45.226130653266324,0.8722738519320432
46,46.23115577889447,0.8722738519320432
47,47.23618090452261,0.8722738519320432
48,48.24120603015075,0.45560556423815596
49,49.24623115577889,0.45560556423815596
50,50.25125628140703,0.45560556423815596
51,51.256281407035175,0.45560556423815596
52,52.26130653266331,0.7020304115726493
53,53.26633165829145,0.7020304115726493
54,54.27135678391959,0.7020304115726493
55,55.27638190954774,0.7020304115726493
56,56.281407035175874,-0.8359457169720065
57,57.28643216080401,-0.8359457169720065
58,58.291457286432156,-0.8359457169720065
59,59.2964824120603,-0.8359457169720065
60,60.30150753768844,-0.812596622008415
61,61.306532663316574,-0.812596622008415
62,62.31155778894472,-0.812596622008415
63,63.31658291457286,-0.812596622008415
64,64.321608040201,-0.9489877833893522
65,65.32663316582914,-0.9489877833893522
66,66.33165829145727,-0.9489877833893522
67,67.33668341708542,-0.9489877833893522
68,68.34170854271356,-0.9195042508470226
69,69.3467336683417,-0.9195042508470226
70,70.35175879396985,-0.9195042508470226
71,71.35678391959799,-0.9195042508470226
72,72.36180904522612,-0.6277618587014102
73,73.36683417085426,-0.6277618587014102
74,74.3718592964824,-0.6277618587014102
75,75.37688442211055,-0.6277618587014102
76,76.38190954773869,-0.5627683890625859
