step,wall,approx_kl,cache_G_best,cache_n,cache_r_best,clip_frac,entropy_mean,eps_mean,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,guide_loss,log_std,m_cov,m_head_std,m_jump,m_jump_rel,m_value,m_var,mean_reward,min_JT,p_mean,pg_loss,policy_reward,search_gain,sigma_mean,sil_loss,task_reward,tau_corr_entropy,tau_corr_p,tau_mean,v_loss,v_std,vetoed,warmup
8192,25.584781010998995,0.0,0.1679353415966034,16.0,0.05980340763926506,0.0,1.3669960498809814,0.4962121248245239,,,,,,,,0.487548828125,0.0005437874933704734,0.0,0.017581544816493988,0.09397280216217041,0.8156894445419312,0.5318824052810669,0.9581706523895264,0.7838425636291504,-9.429149627685547,0.2462457997703772,0.0,-1.148873662870642e-09,-9.283235549926758,0.19327838718891144,0.5010988116264343,3.5776851177215576,-0.0005633268738165498,-0.3679976165294647,0.0,32.515296936035156,337.27001953125,0.06820835173130035,0.0003509521484375,1.0
16384,36.41661165100231,0.0,0.1679353415966034,59.0,0.06007976084947586,0.0,1.3223884105682373,0.49631232023239136,,,,,,,,0.3052978515625,-0.0005495439399965107,0.0,0.06253758072853088,0.05385109782218933,1.5110809803009033,0.3209819197654724,0.4222414195537567,0.6186271905899048,-5.666729927062988,0.2456765317011449,0.002293087774887681,-9.46311029537128e-09,-5.538443565368652,0.19917166233062744,0.5017242431640625,3.266022205352783,0.05381456017494202,-0.24863173067569733,0.0020620995201170444,32.48229217529297,295.3409118652344,0.03956015780568123,0.0455322265625,1.0
24576,49.28808969400416,0.0,0.1679353415966034,64.0,0.06025546416640282,0.0,1.2817684412002563,0.4960518181324005,,,,,,,,0.216796875,-0.0004256217216607183,0.0,0.07080608606338501,0.05895347148180008,2.0918102264404297,0.34678977727890015,0.5328569412231445,0.5531708002090454,-3.8421573638916016,0.2409666901498485,0.03288356959819794,2.563319778658979e-09,-3.7605855464935303,0.2861786484718323,0.501146137714386,3.1967971324920654,0.031239477917551994,-0.20504741370677948,0.036598481237888336,32.4567756652832,252.00634765625,0.04188113659620285,0.167083740234375,1.0
32768,59.64972128700174,0.0,0.1679353415966034,64.0,0.059847354888916016,0.0,1.245005488395691,0.49628904461860657,,,,,,,,0.1639404296875,-5.1613526011351496e-05,0.0,0.07308068126440048,0.06267085671424866,2.4614181518554688,0.36695176362991333,0.5861284136772156,0.5129598379135132,-2.7539327144622803,0.23940009272089202,0.02952837571501732,-2.9358488973230124e-09,-2.7022926807403564,0.3746444582939148,0.5009580254554749,3.3076577186584473,0.015918588265776634,0.3280441164970398,-0.028380606323480606,32.4875373840332,212.42385864257812,0.04944879561662674,0.2637481689453125,1.0
40960,71.51879016800376,0.0,0.1679353415966034,64.0,0.05990634486079216,0.0,1.2118167877197266,0.5000336766242981,,,,,,,,0.135986328125,0.001557863550260663,0.0,0.07358379662036896,0.06672351807355881,2.8064191341400146,0.37357398867607117,0.6455703973770142,0.481792688369751,-2.178079128265381,0.2385322940913185,0.044538311660289764,-3.117747837677598e-09,-2.146422863006592,0.4660869538784027,0.5014342069625854,3.3584465980529785,0.0030871997587382793,-0.1657041609287262,0.011785873211920261,32.38518142700195,183.46881103515625,0.05352745205163956,0.3506622314453125,1.0
49152,81.91738403799536,0.00841472577303648,0.1679353415966034,64.0,0.06007539853453636,0.14505615830421448,1.183032751083374,0.4947974383831024,,,,,,,,0.117919921875,-0.02364758960902691,-0.06581234931945801,0.0791248083114624,0.06871995329856873,3.1367316246032715,0.37501057982444763,0.6461533904075623,0.44470685720443726,-1.8045943975448608,0.2398126797975566,0.05512438341975212,-0.008729441091418266,-1.7832666635513306,0.5660361647605896,0.5026596784591675,3.053065061569214,-0.006650102324783802,-0.3398919999599457,-0.015759961679577827,32.53823471069336,59.2623291015625,0.05349349603056908,0.4220428466796875,0.0
57344,92.83573886199156,0.0070504373870790005,0.1679353415966034,64.0,0.06058540940284729,0.10467529296875,1.1585544347763062,0.4876301884651184,,,,,,,,0.091796875,-0.03313061594963074,-0.1304769366979599,0.08287928998470306,0.072042316198349,3.233656406402588,0.3585386872291565,0.6629546880722046,0.4111466109752655,-1.269110918045044,0.23555418485693058,0.0703524723649025,-0.008007412776350975,-2.282487154006958,0.5988510847091675,0.5019829869270325,2.703883647918701,0.00032048189314082265,-0.12388196587562561,0.05277525261044502,32.56308364868164,65.27886962890625,0.05734538286924362,0.4450531005859375,0.0
65536,103.56600794800033,0.0056406534276902676,0.1679353415966034,64.0,0.0619792714715004,0.06845702975988388,1.1390297412872314,0.5188645124435425,0.0029687388181423024,0.43940649236252083,0.24838717617369022,101,30.82462507444393,0.45,nan,0.065673828125,-0.029791301116347313,-0.18990179896354675,0.08297068625688553,0.07410765439271927,3.2139410972595215,0.33585619926452637,0.7272263765335083,0.37872958183288574,-0.7335118055343628,0.23098697815262015,0.038386765867471695,-0.0093033816665411,-2.084563970565796,0.5974633693695068,0.49953654408454895,2.5018279552459717,-0.0041409083642065525,0.2735684812068939,0.02590966783463955,32.69890594482422,85.26493835449219,0.06100673973560333,0.43670654296875,0.0
73728,118.83586245399783,0.005725035443902016,0.1679353415966034,64.0,0.0619792714715004,0.07015381008386612,1.124833583831787,0.4983515441417694,,,,,,,,0.0546875,-0.040998674929142,-0.24371132254600525,0.08655185252428055,0.0732293426990509,3.392190933227539,0.32500946521759033,0.7058316469192505,0.3441830575466156,-0.5079967975616455,0.23491984286071999,0.0482139028608799,-0.009872106835246086,-1.8838632106781006,0.5570163130760193,0.5011655688285828,2.3410985469818115,-0.012359311804175377,-0.22305695712566376,0.02922254242002964,32.66452407836914,88.91804504394531,0.06025620549917221,0.4173736572265625,0.0
81920,128.19315554900095,0.006228584796190262,0.23433125019073486,64.0,0.062111761420965195,0.07906494289636612,1.1150774955749512,0.5049304962158203,,,,,,,,0.0379638671875,-0.04521339386701584,-0.29336369037628174,0.08600257337093353,0.07316961884498596,3.242068290710449,0.2974848747253418,0.6714017987251282,0.3156847357749939,-0.1643667370080948,0.23290591803888305,0.03200872242450714,-0.011168100871145725,-1.2279961109161377,0.5345353484153748,0.5019394755363464,2.1193835735321045,-0.0008182860910892487,-0.02150297351181507,-0.0004937805933877826,32.618778228759766,94.70466613769531,0.06166183948516846,0.39599609375,0.0
90112,139.53707146199304,0.005899117328226566,0.46280932426452637,64.0,0.0641162246465683,0.07280273735523224,1.1100083589553833,0.5127159953117371,,,,,,,,0.0286865234375,-0.04750114679336548,-0.34307771921157837,0.0883755162358284,0.07346159219741821,3.164191961288452,0.27547118067741394,0.6651146411895752,0.2857796549797058,0.024309175089001656,0.22203340771136482,0.0667949989438057,-0.012227566912770271,-0.7555863857269287,0.5070071816444397,0.49987852573394775,2.090728282928467,0.0026853042654693127,-0.09360389411449432,0.010817760601639748,32.8877067565918,89.84278869628906,0.060668084770441055,0.3761749267578125,0.0
