step,wall,approx_kl,clip_frac,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,mean_reward,min_JT,pg_loss,v_loss
8192,3.3372551759821363,0.0026721540869837444,0.01597900502383709,,,,,,,,0.0234375,0.6620193719863892,0.07267291931909212,-0.0026054424290310827,24.427602767944336
16384,7.772252155991737,0.003716745908806401,0.03828125074505806,,,,,,,,0.03125,0.6623652577400208,0.10423517669541335,-0.003918563509764079,1.600779414176941
24576,10.98632785899099,0.004458720839463424,0.0421142578125,,,,,,,,0.03125,0.6630303263664246,0.08917683694701525,-0.004665477908104592,0.3235909938812256
32768,15.005760531988926,0.0035421985447865417,0.034912109375,0.00048714573053032506,0.21186527657700557,0.21167115107110993,33,21.76633227431677,46.5,nan,0.03125,0.6667443513870239,0.0689440611223293,-0.004238935928565757,0.14717410504817963
40960,19.74684291498852,0.004197072370725735,0.03977051004767418,,,,,,,,0.03125,0.6681473851203918,0.09043790050450488,-0.004116806522296139,0.09229811280965805
49152,23.373232390003977,0.0052526194598764234,0.05675048753619194,,,,,,,,0.03125,0.6707448363304138,0.10339198636476711,-0.006359068234754042,0.04852738603949547
57344,26.979818622989114,0.004791001527974608,0.05130615457892418,,,,,,,,0.03125,0.6705125570297241,0.08953243184405751,-0.004640392470866054,0.10364749282598495
65536,30.74862219300121,0.004931234999427984,0.05830078199505806,0.0011271503538174965,0.1868225799580608,0.1868225799580608,33,22.545709191886175,49.5,nan,0.03125,0.6711214184761047,0.09813725884706871,-0.0064262844207136575,0.2501692771911621
73728,34.97202286400716,0.005278399230603424,0.06071777269244194,,,,,,,,0.0234375,0.6742622256278992,0.12564831159361164,-0.004176034745427855,0.127520352602005
81920,38.62973034099559,0.004257509974214954,0.04547119140625,,,,,,,,0.03125,0.6757838129997253,0.10559339849625764,-0.0054317718268648745,0.11888498067855835
90112,42.45062236499507,0.003925948579190787,0.03416747972369194,,,,,,,,0.03125,0.676275372505188,0.07348466153461283,-0.0029134586244465763,0.2620335817337036
98304,46.256313914986094,0.00559209833677562,0.06336670368909836,0.012439415382306196,0.18915942696562324,0.18027273342138073,33,22.527505812029116,45.0,nan,0.03125,0.6802316308021545,0.07178088167446711,-0.005862694429077763,0.20289157330989838
106496,49.868327268981375,0.005010814832726324,0.05732421949505806,,,,,,,,0.03125,0.6889787316322327,0.05875088346899696,-0.0047821689312147865,0.21577076613903046
114688,53.63190452600247,0.004052485654258671,0.03924560546875,,,,,,,,0.03125,0.6744534969329834,0.07781782896477618,-0.004356719442718667,0.5510744452476501
122880,57.24427281998214,0.004601043270192673,0.04743652418255806,,,,,,,,0.03125,0.6806212067604065,0.04854398429810102,-0.004034914609748472,0.6072801947593689
131072,61.03623765200609,0.0035049801978590395,0.03022461012005806,0.013926971704699587,0.1842128309240946,0.1842128309240946,33,22.57979262993399,49.5,nan,0.03125,0.6828079223632812,0.05368532785621708,-0.002813901463279155,0.5140131115913391
139264,64.96705316999578,0.004662565295465596,0.04908447340130806,,,,,,,,0.0234375,0.685253381729126,0.056424743514435376,-0.005326598430382208,0.31168249249458313
147456,68.83115052198991,0.004573638042984066,0.0494384765625,,,,,,,,0.03125,0.6854316592216492,0.08479063779647168,-0.004483537296657259,0.41799917817115784
155648,72.57819806897896,0.0046011863883119505,0.0467529296875,,,,,,,,0.03125,0.6882099509239197,0.05288139166194744,-0.00364246675619791,0.7410725951194763
163840,75.99106364199542,0.0037020073812172836,0.03477783128619194,0.008396122921519145,0.1959259670158875,0.18177187788581964,33,22.68796484289336,22.5,nan,0.03125,0.6883602142333984,0.07995697121603462,-0.0039005278260627672,0.559691846370697
172032,79.35702234198106,0.004829661236907827,0.04792480543255806,,,,,,,,0.03125,0.6892163157463074,0.05081064779400263,-0.00327554687682475,0.4550725519657135
180224,82.81550865198369,0.005392715684910388,0.06281738728284836,,,,,,,,0.03125,0.6938499212265015,0.0874024425733514,-0.0061332044323386195,0.42452746629714966
188416,86.24888142000418,0.004766710940959266,0.05329589918255806,,,,,,,,0.03125,0.6968626976013184,0.08040292276327618,-0.003718238498135987,0.563910186290741
196608,89.65063420397928,0.006093264338588839,0.07081299275159836,0.0003804861043443797,0.13746957448598152,0.1345926873036564,33,25.485254332085248,45.0,nan,0.03125,0.7088503837585449,0.06258710338557658,-0.0055734319340156515,0.5748886466026306
