step,wall,approx_kl,clip_frac,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,gate_entropy,gate_eps,gate_loss,log_std,m_cov,m_jump,m_q_minus_v,m_value,m_var,mean_reward,min_JT,pg_loss,policy_reward,search_gain,task_reward,v_loss,warmup
8192,55.10896667899215,0.0,0.0,,,,,,,,0.7413330078125,-0.07744504511356354,0.49578818678855896,-5.532429713639431e-05,0.0,0.03423028066754341,0.8905155062675476,0.12284912168979645,0.4254724085330963,0.7547294497489929,-14.663294792175293,0.24704008592657578,3.0442606657743454e-08,-14.505681037902832,0.18951615691184998,-0.049728989601135254,376.5607604980469,1.0
16384,104.13441182899987,0.0,0.0,,,,,,,,0.601318359375,-0.07750220596790314,0.5080582499504089,-2.0755885998369195e-05,0.0,0.07204516977071762,1.5513317584991455,0.11205516010522842,0.1644742637872696,0.6281741261482239,-11.775580406188965,0.24690129890721257,-1.6494960064505904e-08,-11.412274360656738,0.11737855523824692,0.1578386425971985,356.21441650390625,1.0
24576,154.4692952889891,0.0,0.0,,,,,,,,0.6182861328125,-0.07750976085662842,0.5005006194114685,0.00015765598800498992,0.0,0.0792691633105278,1.7578548192977905,0.12247180938720703,0.13804851472377777,0.5934613347053528,-12.12515926361084,0.2474195785741865,2.4422480038310823e-08,-11.740870475769043,0.11099240183830261,0.1689014732837677,356.8116149902344,1.0
32768,209.3446320489893,0.0,0.0,,,,,,,,0.6185302734375,-0.07750183343887329,0.5032829642295837,-0.0004249254416208714,0.0,0.08284372091293335,2.190844774246216,0.13789013028144836,0.15235374867916107,0.5665568709373474,-12.129770278930664,0.24677918391434772,-9.774885789681775e-09,-11.722635269165039,0.11307857930660248,0.18387284874916077,354.6940002441406,1.0
40960,264.796449631991,0.0,0.0,,,,,,,,0.617919921875,-0.07750450819730759,0.5073592066764832,0.0004782590258400887,0.0,0.09309159964323044,2.222930908203125,0.13921396434307098,0.15413865447044373,0.5447216033935547,-12.117326736450195,0.24694724256093192,2.0657898502918215e-08,-11.705733299255371,0.11524475365877151,0.18259339034557343,353.3238830566406,1.0
49152,308.78374974799226,0.030421201139688492,0.24984131753444672,,,,,,,,0.554443359375,-0.0809473991394043,0.5009409785270691,-0.027438564226031303,-0.07164197415113449,0.10738124698400497,2.6105096340179443,0.14268282055854797,0.14245562255382538,0.5155048966407776,-10.807703971862793,0.2471604732198882,-0.04238921403884888,-10.41001033782959,0.11198652535676956,0.1715824007987976,61.421485900878906,0.0
57344,353.29639177399804,0.018056679517030716,0.23129883408546448,,,,,,,,0.5665283203125,-0.09257853031158447,0.4610019624233246,-0.011342109180986881,-0.10746734589338303,0.10265952348709106,3.004460573196411,0.16040831804275513,0.16043634712696075,0.5159265398979187,-11.057449340820312,0.24659281721463777,-0.03602800518274307,-21.454998016357422,0.11132659018039703,0.18823984265327454,38.451026916503906,0.0
65536,395.91892183499294,0.0168580561876297,0.22236327826976776,0.0021611444488481846,0.2507670971136361,0.24919973355798797,3,-18.741936060766776,0.30000000000000004,nan,0.4898681640625,-0.13271310925483704,0.4216516613960266,-0.016832465305924416,-0.1402779221534729,0.10578382015228271,2.5910756587982178,0.13983039557933807,0.14577852189540863,0.49924716353416443,-9.475931167602539,0.24695019921313377,-0.03532245382666588,-27.035171508789062,0.13328999280929565,0.1685238778591156,26.125598907470703,0.0
73728,447.9189849639952,0.035131778568029404,0.39068603515625,,,,,,,,0.441162109375,-0.19494478404521942,0.38075485825538635,-0.020966235548257828,-0.1675705760717392,0.1203029677271843,3.7021679878234863,0.13146737217903137,0.1469479203224182,0.4734364151954651,-8.471573829650879,0.24665315832801538,-0.056182123720645905,-31.92991828918457,0.11738571524620056,0.16395999491214752,25.31483268737793,0.0
81920,491.48924151499523,0.02167140692472458,0.3014282286167145,,,,,,,,0.4344482421875,-0.2601545453071594,0.3457333743572235,-0.017709700390696526,-0.19164294004440308,0.09529199451208115,3.93359112739563,0.13993684947490692,0.16133815050125122,0.5081396698951721,-8.333991050720215,0.2461465636005823,-0.05035100504755974,-38.79013442993164,0.12087032198905945,0.18204106390476227,29.257049560546875,0.0
