tlist,guess,amplist
0.0,-8.71967124502158e-18,-1.0957462050031184e-16
0.01,0.00017479833495518543,0.0014156961127270652
0.02,0.0006622589774199215,0.0031545110785955116
0.03,0.001448467658135171,0.0008278665156859573
0.04,0.0025618249473161408,-0.009498251279400535
0.05,0.004014747983790172,-0.031765854191263536
0.06,0.005822850679951539,-0.0694847788564396
0.07,0.008004686224240299,-0.12552459729781773
0.08,0.01058143865782711,-0.20189790287650555
0.09,0.01357656719286552,-0.2995411244096789
0.1,0.017015407507972993,-0.4181035284998651
0.11,0.02092473477756704,-0.5557603340208642
0.12,0.025332293659469235,-0.7090704977284197
0.13,0.03026630087453846,-0.872901444287734
0.14,0.03575492635839166,-1.040439231929959
0.15,0.04182575924459579,-1.203291827715025
0.16,0.048505265147884544,-1.3516764291710621
0.17,0.055818241352560104,-1.47466386657177
0.18,0.06378727657367274,-1.5604418439920391
0.19,0.07243222194603707,-1.5965626545556488
0.2,0.08176967980867872,-1.5701664593216973
0.21,0.09181251669076844,-1.468220749058312
0.22,0.10256940667117184,-1.277887939571945
0.23,0.11404441097989802,-0.987215969265581
0.24,0.1262365993392207,-0.5864118272808305
0.25,0.13913971810905568,-0.06993493440800683
0.26,0.15274190980999014,0.5605878993682742
0.27,0.16702548805349432,1.2931908308492888
0.28,0.18196677131821065,2.1035047303910286
0.29,0.19753597838023507,2.9556081155323106
0.3,0.21369718754085829,3.8068023432809603
0.31,0.23040836110456608,4.615169421672578
0.32,0.24762143585075658,5.3468088240831735
0.33,0.2652824795223712,5.979791806971461
0.34,0.2833319126313415,6.504019344115548
0.35,0.3017047941623481,6.918300965745022
0.36,0.320331169050752,7.226613353619418
0.37,0.33913647462543695,7.434906100468663
0.38,0.35804200255022345,7.548971275443281
0.39,0.37696541217571067,7.573364738567469
0.4,0.3958212906337222,7.511213196833595
0.41,0.41452175447537,7.364800874404093
0.42,0.43297708717698413,7.136940733362719
0.43,0.4510964064210554,6.833165903405859
