,amplist,tlist
0,0.0,0.0
1,-3.4085512161254883,0.05
2,0.4699885845184326,0.1
3,-1.2891948223114014,0.15000000000000002
4,-17.839502334594727,0.2
5,-9.02514362335205,0.25
6,-5.543500900268555,0.30000000000000004
7,-9.123342514038086,0.35000000000000003
8,-2.6451518535614014,0.4
9,-1.2666125297546387,0.45
10,-12.250516891479492,0.5
11,-10.089973449707031,0.55
12,-7.0156426429748535,0.6000000000000001
13,1.3059983253479004,0.65
14,12.001657485961914,0.7000000000000001
15,9.448709487915039,0.75
16,6.361105442047119,0.8
17,9.237154006958008,0.8500000000000001
18,2.8500595092773438,0.9
19,7.150135040283203,0.9500000000000001
20,10.312477111816406,1.0
21,5.922879695892334,1.05
22,-7.999186992645264,1.1
23,-6.681727886199951,1.1500000000000001
24,-8.419412612915039,1.2000000000000002
25,-9.310362815856934,1.25
26,-6.481990814208984,1.3
27,-6.198878288269043,1.35
28,-13.053155899047852,1.4000000000000001
29,-10.219228744506836,1.4500000000000002
30,-7.3184814453125,1.5
31,-14.196921348571777,1.55
32,-11.005973815917969,1.6
33,-9.773693084716797,1.6500000000000001
34,-4.386520862579346,1.7000000000000002
35,0.8170185089111328,1.75
36,0.15171337127685547,1.8
37,7.591048240661621,1.85
38,15.6085844039917,1.9000000000000001
39,13.67630672454834,1.9500000000000002
40,1.6056833267211914,2.0
41,3.699129104614258,2.0500000000000003
42,1.8741512298583984,2.1
43,3.4202442169189453,2.15
44,4.913097381591797,2.2
45,3.5234580039978027,2.25
46,-11.286317825317383,2.3000000000000003
47,-11.830184936523438,2.35
48,-10.512208938598633,2.4000000000000004
49,-13.054079055786133,2.45
50,-11.951545715332031,2.5
51,-13.358036041259766,2.5500000000000003
52,-10.956299781799316,2.6
53,-12.024681091308594,2.6500000000000004
54,-10.906543731689453,2.7
55,-8.93409538269043,2.75
56,-8.606658935546875,2.8000000000000003
57,-14.51229190826416,2.85
58,-8.24578857421875,2.9000000000000004
59,-11.808826446533203,2.95
60,-16.618694305419922,3.0
61,-2.997272491455078,3.0500000000000003
62,-6.845815658569336,3.1
63,-12.20401382446289,3.1500000000000004
64,2.774881362915039,3.2
65,0.2250652313232422,3.25
66,-2.6010541915893555,3.3000000000000003
67,-5.596860885620117,3.35
68,-4.111441135406494,3.4000000000000004
69,-6.154282569885254,3.45
70,-14.775214195251465,3.5
71,-12.5199613571167,3.5500000000000003
72,-9.008956909179688,3.6
73,-14.897396087646484,3.6500000000000004
74,-11.639259338378906,3.7
75,-12.194381713867188,3.75
76,-9.678010940551758,3.8000000000000003
77,-8.852855682373047,3.85
78,-11.542121887207031,3.9000000000000004
79,-10.665206909179688,3.95
80,-14.186758041381836,4.0
81,-14.779441833496094,4.05
82,-2.802745819091797,4.1000000000000005
83,-6.709331512451172,4.15
84,-7.9369635581970215,4.2
85,11.779714584350586,4.25
86,17.974519729614258,4.3
87,11.009355545043945,4.3500000000000005
88,2.6914472579956055,4.4
89,8.258451461791992,4.45
90,5.068106174468994,4.5
91,10.578874588012695,4.55
92,11.895774841308594,4.6000000000000005
93,7.330730438232422,4.65
94,12.515047073364258,4.7
95,16.44116973876953,4.75
96,9.682886123657227,4.800000000000001
97,-0.8313932418823242,4.8500000000000005
98,-6.402046203613281,4.9
99,-15.676664352416992,4.95
100,-8.361347198486328,5.0
101,-9.140291213989258,5.050000000000001
102,-16.49352264404297,5.1000000000000005
103,-10.94709587097168,5.15
104,-8.084815979003906,5.2
105,-14.796921730041504,5.25
106,-7.907098770141602,5.300000000000001
107,-0.5360527038574219,5.3500000000000005
108,-4.32670783996582,5.4
109,0.9169273376464844,5.45
110,3.9963607788085938,5.5
111,2.2134432792663574,5.550000000000001
112,2.263118028640747,5.6000000000000005
113,0.15283608436584473,5.65
114,-1.692770004272461,5.7
115,12.832235336303711,5.75
116,17.214672088623047,5.800000000000001
117,10.674272537231445,5.8500000000000005
118,-0.39174556732177734,5.9
119,-9.05781364440918,5.95
120,-15.790809631347656,6.0
121,-11.87755298614502,6.050000000000001
122,-7.860311508178711,6.1000000000000005
123,-12.167771339416504,6.15
124,-15.680170059204102,6.2
125,-11.629171371459961,6.25
126,-13.274337768554688,6.300000000000001
127,-7.9166154861450195,6.3500000000000005
128,-4.498649597167969,6.4
129,-3.874439239501953,6.45
130,-2.7484302520751953,6.5
131,1.9810810089111328,6.550000000000001
132,6.775243759155273,6.6000000000000005
133,-0.20686578750610352,6.65
134,0.18491315841674805,6.7
135,2.5288748741149902,6.75
136,9.95687484741211,6.800000000000001
137,10.578920364379883,6.8500000000000005
