tlist,guess,amplist
0.0,-8.71967124502158e-18,-1.0957462050031184e-16
0.01,0.0001742369410385892,0.0020868887958389484
0.02,0.000657352942618943,0.007613650278700226
0.03,0.0014273590641485669,0.015883897285383607
0.04,0.002498987290881245,0.026804364378392512
0.05,0.0038651359342120628,0.04020863914373809
0.06,0.005515677474020604,0.0561377975334834
0.07,0.007436768895572323,0.0748711103991442
0.08,0.009610070990302174,0.09694827432367792
0.09,0.012011911033909046,0.12318056632382558
0.1,0.014612426964861636,0.1546478445497222
0.11,0.017374733744029855,0.19267799405415137
0.12,0.020254153893288322,0.23880532128302223
0.13,0.02319755423267482,0.2947046086549586
0.14,0.026142829542242074,0.3620981389612127
0.15,0.02901857128217182,0.4426341025847924
0.16,0.03174395566470442,0.5377365611813355
0.17,0.034228880370139686,0.6484297398592036
0.18,0.0363743731551916,0.7751430042445125
0.19,0.038073288663492265,0.9175074285564275
0.2,0.03921130208909092,1.0741599739764234
0.21,0.03966820015996941,1.2425759671037262
0.22,0.039319461412094164,1.4189531127965076
0.23,0.038038109138765236,1.5981686322214126
0.24,0.0356968119539509,1.7738236623880996
0.25,0.03217019883049803,1.938375789992583
0.26,0.027337347986917587,2.083344119985479
0.27,0.021084402310152586,2.199556745481667
0.28,0.013307258309089832,2.2774040821072656
0.29,0.00391427106467495,2.3070680632768137
0.3,-0.00717108557977393,2.278718079240256
0.31,-0.02000766614829587,2.1826973492917814
0.32,-0.034634270850173024,2.0097626765583536
0.33,-0.05106749472499097,1.7514780001848342
0.34,-0.0692998674847749,1.4008843739899337
0.35,-0.089298338649305,0.9535522387919001
0.36,-0.11100315686545853,0.4090300635893564
0.37,-0.13432718527438198,-0.2274967874345153
0.38,-0.15915568658519086,-0.9438143793923028
0.39,-0.18534660230529107,-1.7202793594214432
0.4,-0.21273134056669468,-2.5310779625700817
0.41,-0.24111607639834368,-3.3472677614713384
0.42,-0.27028355736677445,-4.140863254162841
0.43,-0.2999953964928486,-4.888624496653877
0.44,-0.32999482350721887,-5.574357794334607
0.45,-0.360009855087016,-6.189321612226653
0.46,-0.389756834968938,-6.73114642971572
0.47,-0.4189442859941068,-7.2020459078368875
0.48,-0.4472770084231982,-7.6069995758958004
0.49,-0.47446035245746254,-7.952284969583334
0.5,-0.5002045879741198,-8.24446376554357
0.51,-0.5242292911617721,-8.489769932178003
0.52,-0.5462676661149246,-8.693793433451496
0.53,-0.566070719569493,-8.861355736615847
0.54,-0.5834112088459784,-8.996497312663744
0.55,-0.5980872866856114,-9.10252322584217
0.56,-0.6099257719485762,-9.182073574385521
0.57,-0.61878498198496,-9.237199853989882
0.58,-0.624557070744285,-9.26943741095699
0.59,-0.6271698261812022,-9.279869597339944
0.6,-0.6266757900426294,-9.26972402064771
0.61,-0.6236865726483961,-9.243153048214717
0.62,-0.6188281100811027,-9.204136478672304
0.63,-0.6122024823175866,-9.153281206498013
0.64,-0.6038286099249583,-9.090529910371657
0.65,-0.5937304058696926,-9.015715464626435
0.66,-0.5819367072302286,-8.928570892696571
0.67,-0.5684811928479616,-8.82873731179224
0.68,-0.5534022871517861,-8.715770181428281
0.69,-0.5367430504308347,-8.589143959571796
0.7,-0.5185510558687575,-8.448255045904551
0.71,-0.4988782536906916,-8.292422654813366
0.72,-0.4777808228108704,-8.12088702886372
0.73,-0.45531901040451606,-7.932804213192932
0.74,-0.4315569598621468,-7.727236520671051
0.75,-0.4065625276176016,-7.503137906540101
0.76,-0.38040708937286016,-7.259333835525997
0.77,-0.3531653362730162,-6.994495963771004
